"","gene_origin","gene_destination","effect","pvalue","anti.pvalue","p.adj","anti.p.adj"
"1602","CHCHD2","HMGN1","1",0.33764751352377,0.137376534174021,0.621099322624253,0.375636648734713
"1603","CHCHD2","STMN1","1",0.143938580706756,0.953323867325511,0.386465230390743,0.985662515064843
"1604","CHCHD2","NDUFC2","1",0.580324231508551,0.243511474210378,0.810399915110539,0.524672240178106
"1605","CHCHD2","TOMM20","1",0.265357001012989,0.0751053221754856,0.545805395448518,0.264085612001303
"1606","CHCHD2","SUB1","1",0.801882721067623,0.147105229077843,0.923921576110285,0.392274749425317
"1607","CHCHD2","NME1","1",0.584806803656228,0.233192193823005,0.81471010940698,0.512501329902469
"1608","CHCHD2","ATP5PF","1",0.357769597448268,0.042425453637582,0.639801962942964,0.179136244824147
"1609","CHCHD2","LDHA","1",0.214448363518731,0.578208000301329,0.488376408073391,0.808559680053136
"1610","CHCHD2","CALR","1",0.110515946895248,0.531994898731848,0.332094408177807,0.779831364220678
"1611","PPIA","FTL","1",0.710554524473913,0.622164736469972,0.880353961547151,0.836047550136128
"1612","PPIA","FTH1","1",0.504960996513564,0.435807814151747,0.758490757201953,0.704809230446104
"1613","PPIA","HBG2","1",0.00479573733020821,0.970381259282481,0.0344431442297223,0.990970246465447
"1614","PPIA","HBZ","1",0.0896891731180457,0.0496351598686756,0.295526798191565,0.199591814270068
"1615","PPIA","GAPDH","1",0.9382003366638,0.674465900717384,0.979299990649244,0.864616863546636
"1616","PPIA","GSTP1","1",0.161367668037837,0.902065084811564,0.415355081205272,0.96593037148862
"1617","PPIA","ACTB","1",0.920531685051816,0.0128079650937412,0.971876719092065,0.0736943143083064
"1618","PPIA","GP1BB","1",0.807438294063696,0.907851836555544,0.926266861253749,0.967235969739772
"1619","PPIA","UQCRH","1",0.95568344549226,0.0560487544791353,0.986744412321374,0.216912249818615
"1620","PPIA","H3F3A","1",0.124072244621925,0.56901989354492,0.35326286706786,0.801541015700892
"1621","PPIA","UBA52","1",0.379428240294945,0.610496321065393,0.662051214781143,0.830023639917952
"1622","PPIA","NACA","1",0.567959015193596,0.00319046252903105,0.800898143496865,0.0250779435011548
"1623","PPIA","APOE","1",0.260501359422872,0.0292112569338134,0.541685920552146,0.137587284596783
"1624","PPIA","CHCHD2","1",0.683324177660203,0.690127336098591,0.868957242248513,0.872314061604959
"1625","PPIA","OAZ1","1",0.377240147559466,0.128393634863514,0.660806619405312,0.359171144305114
"1626","PPIA","BTF3","1",0.627584988664844,0.0635557641650212,0.839616374103755,0.235322865976032
"1627","PPIA","MIF","1",0.203822889982575,0.717992409083348,0.476501685084311,0.884297563654863
"1628","PPIA","TMSB4X","1",0.0115175022764518,0.385303241743432,0.068406983217714,0.667040529495206
"1629","PPIA","HNRNPA1","1",0.154627952448506,0.000697793584972403,0.406015315072222,0.00727237362314291
"1630","PPIA","HINT1","1",0.213026379875943,0.928686536305064,0.486414236800536,0.97488117150813
"1631","PPIA","UBE2L3","1",0.522552228019237,0.812380138253169,0.772324820589852,0.929268068869096
"1632","PPIA","EIF4A1","1",0.703552548395018,0.00302821183950375,0.877238925517778,0.0241462140903213
"1633","PPIA","LDHB","1",0.899499841318295,0.957129106385188,0.965169397310175,0.987689614537432
"1634","PPIA","SLC25A3","1",0.765427663563602,0.493501033169123,0.909387866199274,0.749403558728504
"1635","PPIA","ATP5F1E","1",0.324041792633057,0.0428938110131895,0.605995054490137,0.180361796343349
"1636","PPIA","COX4I1","1",0.531986139688722,0.00196203232046034,0.779831364220678,0.0168380061851936
"1637","PPIA","EIF5A","1",0.606879661090904,0.253024311205842,0.827007768090417,0.533996427539666
"1638","PPIA","STMN1","1",0.403513101931317,0.266667552505874,0.682177408829907,0.547944554963034
"1639","PPIA","SUB1","1",0.155056461311611,0.685591852585143,0.406645687512972,0.869567565522986
"1640","PPIA","NME1","1",0.661563999539999,0.820041226287756,0.856868906538662,0.931147540819362
"1641","PPIA","NASP","1",0.717087728302239,0.686071587119889,0.883957199668169,0.869567565522986
"1642","PPIA","LDHA","1",0.314192297367698,0.749761013688269,0.59621124098623,0.900958740809871
"1643","OAZ1","PFN1","1",0.321883491709695,0.00290843242668328,0.60276862250823,0.0234061396351359
"1644","OAZ1","CFL1","1",0.481570142516626,0.412634337946295,0.739454178905995,0.688592759506094
"1645","OAZ1","ATP5F1E","1",0.601269210113338,0.760755284205756,0.823919668703855,0.906342962124348
"1646","OAZ1","SUB1","1",0.716596403068486,0.192381750693189,0.883710116712832,0.460564033574396
"1647","OAZ1","CCT3","1",0.575442503938609,5.45289716158702e-10,0.806920990983381,2.17972389169755e-08
"1648","OAZ1","PRAME","1",0.77747183665792,1.26203354248496e-06,0.914779023922061,2.99535773599166e-05
"1649","OAZ1","ATP5F1D","1",0.618480134286792,0.109409909912603,0.833483667752759,0.329336892487486
"1650","OAZ1","GPX4","1",0.405194354624049,0.222336763477997,0.683225908500606,0.49827276865113
"1651","ENO1","EEF1A1","1",2.01291193266774e-22,0.431542904617364,2.44609058057784e-20,0.701834766717105
"1652","ENO1","FTL","1",6.78391002369373e-09,0.588876469463975,2.31567625303163e-07,0.817264636508758
"1653","ENO1","NPM1","1",0.346470766271695,0.696835504946484,0.628592527879014,0.874607008480652
"1654","ENO1","YBX1","1",0.0005567694826205,0.794206602077834,0.00601178310317791,0.921441548629958
"1655","ENO1","HBG2","1",6.95990047273032e-16,0.48687920402609,5.35295636358347e-14,0.743285940618724
"1656","ENO1","RACK1","1",1.39951660376276e-06,0.476400741994717,3.2959158466909e-05,0.734486401512281
"1657","ENO1","TPT1","1",8.19282589364353e-13,0.889577173163216,4.44460804730161e-11,0.961284879495087
"1658","ENO1","HSP90AB1","1",0.0115899671566281,0.268505232843218,0.0685692701496324,0.550046458110381
"1659","ENO1","GAPDH","1",2.02559164743084e-09,0.0592505209417925,7.55061033729436e-08,0.224582760600331
"1660","ENO1","GSTP1","1",2.46318512661506e-12,0.177687226502965,1.27917203669343e-10,0.437805185819959
"1661","ENO1","UQCRH","1",0.155382951145211,0.292144302333693,0.406920052346583,0.573527877537809
"1662","ENO1","UBA52","1",4.02736664396095e-06,0.981319023526861,8.35163130672585e-05,0.99344553133272
"1663","ENO1","HIST1H1C","1",0.00339790229803014,0.786264539020757,0.026222572599689,0.918503717392009
"1664","ENO1","EEF1G","1",1.87504720520736e-09,0.597664757123273,7.03258445607402e-08,0.822144230083995
"1665","ENO1","APOE","1",2.7205650442415e-07,0.468021626818966,7.37953268250507e-06,0.727827294612888
"1666","ENO1","PRDX1","1",0.00364378194427192,0.13499203864597,0.0278135918258746,0.370800916280703
"1667","ENO1","H2AFZ","1",0.0331959229978507,0.0171993144553197,0.150746209368416,0.0924805616199314
"1668","ENO1","RAN","1",0.00388443865822555,0.984779860963952,0.0292464055605681,0.99344553133272
"1669","ENO1","CHCHD2","1",0.628630204723097,0.632569729641282,0.83985929672372,0.841373407982877
