"","parent","child","pvalue"
"257","NPM1","H3F3B",0.160731182919617
"258","NPM1","PABPC1",0.405595104009494
"259","NPM1","HNRNPU",0.664686174985242
"260","NPM1","HBG1",0.663575532415913
"261","NPM1","UBE2L3",0.16858118784925
"262","NPM1","PA2G4",0.174657354091406
"263","NPM1","NDUFS5",0.0502178495273671
"264","NPM1","APOC1",0.543075349080402
"265","NPM1","EIF4A1",0.361976325628226
"266","NPM1","PFN1",0.461991334801051
"267","NPM1","SDF2L1",0.00480700422606001
"268","NPM1","LDHB",0.907709042056261
"269","NPM1","HIST1H1E",0.851605060631053
"270","NPM1","TUBA1C",0.0835094904087769
"271","NPM1","SLC25A3",0.0503132283039016
"272","NPM1","CFL1",0.134521879817261
"273","NPM1","ATP5F1E",0.0578783782245082
"274","NPM1","COX4I1",0.00464299541800626
"275","NPM1","EIF5A",0.213529644439244
"276","NPM1","HMGN1",0.327119976192435
"277","NPM1","CLIC1",0.0194389149374518
"278","NPM1","STMN1",0.0109761308743664
"279","NPM1","CCT5",0.835957800536371
"280","NPM1","NDUFC2",0.275103694326905
"281","NPM1","HSP90B1",0.533411887423725
"282","NPM1","UBE2S",0.115025127462863
"283","NPM1","ATP5F1B",0.355206850660811
"284","NPM1","TOMM20",0.354840636988737
"285","NPM1","SUB1",0.863242089075458
"286","NPM1","CCT3",0.572565883560238
"287","NPM1","HNRNPC",0.00679152804297816
"288","NPM1","PRAME",0.319520382615915
"289","NPM1","CENPF",0.70716456233453
"290","NPM1","SFPQ",0.65292672073417
"291","NPM1","NME1",0.653788642893504
"292","NPM1","ATP5F1D",0.894158280507289
"293","NPM1","HSPA5",0.0942352375960816
"294","NPM1","PTGES3",0.639829029482194
"295","NPM1","NASP",0.0222721190494713
"296","NPM1","ATP5PF",0.301623010898673
"297","NPM1","LDHA",0.151922062085788
"298","NPM1","CCT8",0.414671500063268
"299","NPM1","CALR",0.9392526844966
"300","NPM1","GPX4",0.380053624382339
"301","FTH1","EEF1A1",0.709564266332118
"302","FTH1","FTL",0.404111100880987
"303","FTH1","NPM1",0.502027349892907
"304","FTH1","FTH1",1.96609645738373e-181
"305","FTH1","YBX1",0.339682123700606
"306","FTH1","HBG2",0.00169254257706688
"307","FTH1","RACK1",0.174796163285327
"308","FTH1","PTMA",0.817951304894724
"309","FTH1","TPT1",0.881017681633884
"310","FTH1","HSP90AB1",0.157691445298005
"311","FTH1","HBZ",0.00957942764282263
"312","FTH1","RANBP1",0.15115183560335
"313","FTH1","GAPDH",0.746103880855343
"314","FTH1","HIST1H4C",0.549026378545574
"315","FTH1","GSTP1",0.728385785502447
"316","FTH1","ACTB",0.0750445140524094
"317","FTH1","TUBA1B",0.778794882866409
"318","FTH1","GP1BB",0.383388464468376
"319","FTH1","UQCRH",0.0206545503713499
"320","FTH1","H3F3A",0.740667612838072
"321","FTH1","NCL",0.902717484806809
"322","FTH1","UBA52",0.23035249872247
"323","FTH1","NACA",0.916230216176063
"324","FTH1","HSPD1",0.841900474085068
"325","FTH1","HSP90AA1",0.445069919042506
"326","FTH1","HIST1H1C",0.157330012063886
"327","FTH1","EEF1G",0.427314640226696
"328","FTH1","EEF1B2",0.639428736244499
"329","FTH1","EEF2",0.56980305149228
"330","FTH1","APOE",0.721802051433192
"331","FTH1","FAU",0.229922818226276
"332","FTH1","PRDX1",0.127194647464042
"333","FTH1","HMGB1",0.452552082735814
"334","FTH1","VIM",0.257374956488719
"335","FTH1","SET",0.17013520274941
"336","FTH1","H2AFZ",0.92908922154543
"337","FTH1","TUBB",0.0384220931399122
"338","FTH1","RAN",0.268011444016315
"339","FTH1","HNRNPA2B1",0.237561513018873
"340","FTH1","CHCHD2",0.140888887969685
"341","FTH1","PPIA",0.435807814151747
"342","FTH1","OAZ1",0.1642105231949
"343","FTH1","ENO1",0.515695417006227
"344","FTH1","BTF3",0.627936898875272
"345","FTH1","HSPA8",0.613700848644344
"346","FTH1","ACTG1",0.466624068851662
"347","FTH1","MIF",0.531935116263121
"348","FTH1","TMSB4X",0.930387188448634
"349","FTH1","HNRNPA1",0.517834155105934
"350","FTH1","EIF1",0.39869103208526
"351","FTH1","HINT1",0.0630074116052127
"352","FTH1","HMGA1",0.185622772806038
"353","FTH1","ANP32B",0.253370399263546
"354","FTH1","HSPE1",0.406775123229093
"355","FTH1","ATP5MC3",0.85914100196443
"356","FTH1","SERBP1",0.341469403723386
"357","FTH1","H3F3B",0.990114270590194
"358","FTH1","PABPC1",0.78106404581951
"359","FTH1","HNRNPU",0.75938652914164
"360","FTH1","HBG1",0.0153257928785359
"361","FTH1","UBE2L3",0.9948818801368
"362","FTH1","PA2G4",0.936709554520782
"363","FTH1","NDUFS5",0.892677285244081
"364","FTH1","APOC1",0.931742272237018
"365","FTH1","EIF4A1",0.134797861851323
"366","FTH1","PFN1",0.448656739993321
"367","FTH1","SDF2L1",0.659115883073254
"368","FTH1","LDHB",0.262315907500658
"369","FTH1","HIST1H1E",0.97303234569336
"370","FTH1","TUBA1C",0.669865805584229
"371","FTH1","SLC25A3",0.427398286185103
"372","FTH1","CFL1",0.445298437157266
"373","FTH1","ATP5F1E",0.636587008416027
"374","FTH1","COX4I1",0.54170272965629
"375","FTH1","EIF5A",0.844268171590326
"376","FTH1","HMGN1",0.599002419521963
"377","FTH1","CLIC1",0.768237681505035
"378","FTH1","STMN1",0.243858777322083
"379","FTH1","CCT5",0.684045325430567
"380","FTH1","NDUFC2",0.363440908537003
"381","FTH1","HSP90B1",0.939501128649988
"382","FTH1","UBE2S",0.305946413831397
"383","FTH1","ATP5F1B",0.815108203266993
"384","FTH1","TOMM20",0.370247854420329
"385","FTH1","SUB1",0.535121486565784
"386","FTH1","CCT3",0.478107077222458
"387","FTH1","HNRNPC",0.437869335070482
"388","FTH1","PRAME",0.24535192029525
